no_of_employees,prevailing_wage,unit_of_wage,company_age,wage_per_year,wage_employee_ratio,employees_growth_rate_ratio,wage_per_age_ratio,case_status_encoded,education_level_ordinal,establishment_period_ordinal,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,has_job_experience_encoded,requires_job_training_encoded,full_time_position_encoded,region_target_encoded,prevailing_wage_log,no_of_employees_log
7227.0,592.2029,Hour,18.0,1231782.032,170.44,401.5,68432.34,0,1,2,0,1,0,0,0,0,0,0,1,0.62,6.383849312649759,8.885717651712119
2412.0,83425.65,Year,23.0,83425.65,34.59,104.87,3627.2,1,3,2,0,1,0,0,0,0,1,0,1,0.63,11.33171109501865,7.7886260656250315
7227.0,122996.86,Year,17.0,122996.86,17.02,425.12,7235.11,0,2,2,0,1,0,0,0,0,0,1,1,0.62,11.719914105573414,8.885717651712119
98.0,83434.03,Year,92.5,83434.03,851.37,1.06,901.99,0,2,5,0,1,0,0,0,0,0,0,1,0.62,11.331811538696918,4.59511985013459
1082.0,149907.39,Year,20.0,149907.39,138.55,54.1,7495.37,1,3,2,1,0,0,0,0,0,1,0,1,0.7,11.917772982408529,6.9874902470009905
2339.0,78252.14,Year,13.0,78252.14,33.46,179.92,6019.4,1,3,1,0,1,0,0,0,0,1,0,1,0.7,11.267691456271255,7.757906208351747
4985.0,53635.39,Year,31.0,53635.39,10.76,160.81,1730.17,1,2,3,0,1,0,0,0,0,0,0,1,0.7,10.889964390376399,8.514389264083503
3035.0,418.2298,Hour,92.5,869917.984,286.63,32.81,9404.52,0,2,5,0,0,0,1,0,0,1,0,1,0.62,6.03603104222722,8.01829613851552
4810.0,74362.19,Year,13.0,74362.19,15.46,370.0,5720.17,1,2,1,0,1,0,0,0,0,0,0,1,0.76,11.216702892719612,8.478660241699453
2251.0,67514.76,Year,30.0,67514.76,29.99,75.03,2250.49,1,4,3,0,0,1,0,0,0,1,0,1,0.7,11.120101519623217,7.719573989259581
2465.0,83588.56,Year,21.0,83588.56,33.91,117.38,3980.41,1,3,2,0,1,0,0,0,0,0,0,1,0.76,11.333661947603794,7.81035268372429
4069.0,70813.09,Year,20.0,70813.09,17.4,203.45,3540.65,0,1,2,0,1,0,0,0,0,1,0,1,0.63,11.167799149597965,8.311398278436641
7227.0,28663.05,Year,62.0,28663.05,3.97,116.56,462.31,1,2,4,0,1,0,0,0,0,1,0,1,0.63,10.263364115817643,8.885717651712119
1652.0,107196.03,Year,18.0,107196.03,64.89,91.78,5955.34,1,2,2,0,1,0,0,0,0,1,0,1,0.76,11.582414493350988,7.410347097821024
7227.0,218315.56125000003,Year,19.0,218315.56125000003,30.21,380.37,11490.29,1,3,2,0,1,0,0,0,0,1,1,1,0.7,12.293696823781252,8.885717651712119
4897.0,74108.02,Year,38.0,74108.02,15.13,128.87,1950.21,0,1,3,0,1,0,0,0,0,1,0,1,0.62,11.213279037546263,8.496582237512113
7227.0,3706.79,Year,34.0,3706.79,0.51,212.56,109.02,1,3,3,0,0,1,0,0,0,1,0,1,0.76,8.217921551964212,8.885717651712119
2747.0,16132.61,Year,24.0,16132.61,5.87,114.46,672.19,1,3,3,0,1,0,0,0,0,1,0,1,0.62,9.688597968320764,7.91862865334224
4743.0,150441.13,Year,21.0,150441.13,31.72,225.86,7163.86,1,3,2,1,0,0,0,0,0,1,0,1,0.76,11.92132712385625,8.464635940677562
843.0,79948.12,Year,53.0,79948.12,94.84,15.91,1508.46,1,4,4,0,1,0,0,0,0,0,0,1,0.76,11.28913320328894,6.738152494595957
880.0,71128.98,Year,17.0,71128.98,80.83,51.76,4184.06,0,3,2,0,1,0,0,0,0,0,0,1,0.62,11.172250127683789,6.78105762593618
1706.0,137694.98,Year,12.0,137694.98,80.71,142.17,11474.58,1,3,1,0,0,0,1,0,0,1,0,0,0.76,11.8327962279883,7.442492722794441
2878.0,45642.39,Year,57.0,45642.39,15.86,50.49,800.74,1,3,4,0,1,0,0,0,0,1,0,1,0.62,10.728592168950254,7.965198290612176
1517.0,90108.38,Year,92.5,90108.38,59.4,16.4,974.14,1,1,5,0,0,0,1,0,0,0,0,0,0.76,11.40876844704062,7.325148957955575
241.0,71286.04,Year,44.0,71286.04,295.79,5.48,1620.14,1,4,4,0,0,1,0,0,0,1,0,1,0.76,11.17445579480618,5.488937726156687
1100.0,99489.65,Year,28.0,99489.65,90.45,39.29,3553.2,1,3,3,0,0,0,1,0,0,0,0,1,0.76,11.507808897635716,7.00397413672268
756.0,86332.95,Year,30.0,86332.95,114.2,25.2,2877.76,1,2,3,0,1,0,0,0,0,1,0,1,0.7,11.365966611849267,6.6293632534374485
2889.0,103029.33,Year,20.0,103029.33,35.66,144.45,5151.47,1,1,2,0,1,0,0,0,0,1,1,1,0.7,11.542768983957666,7.969011781106478
18.0,40925.86,Year,21.0,40925.86,2273.66,0.86,1948.85,1,3,2,0,1,0,0,0,0,1,0,1,0.63,10.619517416068636,2.9444389791664403
758.0,189190.48,Year,16.0,189190.48,249.59,47.38,11824.4,1,2,2,0,1,0,0,0,0,1,0,1,0.63,12.15050961720923,6.63200177739563
1408.0,79594.12,Year,27.0,79594.12,56.53,52.15,2947.93,1,3,3,0,1,0,0,0,0,1,0,0,0.76,11.284695499757266,7.25063551189868
995.0,135866.13,Year,92.5,135866.13,136.55,10.76,1468.82,1,4,5,0,1,0,0,0,0,1,0,0,0.7,11.819425341703864,6.903747257584598
2415.0,72077.57,Year,62.0,72077.57,29.85,38.95,1162.54,1,2,4,0,1,0,0,0,0,0,0,0,0.76,11.185498179172319,7.789868559054706
2395.0,81921.18,Year,25.0,81921.18,34.21,95.8,3276.85,1,1,3,0,1,0,0,0,0,0,0,1,0.7,11.31351284446647,7.78155595923534
